"20","2","Less: Gold, ITAs \1\","B1087C1","5,691.0","2,627.0","5,811.0","3,078.0","3,730.0","3,580.0","4,540.0","9,064.0","5,815.0","5,122.0","6,940.0","5,726.0","5,485.0","5,263.0","6,028.0","4,896.0","3,357.0","4,791.0","4,450.0","5,550.0","8,783.0","13,308.0","18,689.0","13,933.0","17,561.0","34,255.0"
"21","3","      Statistical differences \2\","B1233C1","0.0","-1.0","-1.0","-1.0","-3.0","-30.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","14,253.0","12,787.0","12,477.0","12,269.0","13,969.0","15,824.0","19,349.0","23,594.0","3,591.0","0.0","0.0","0.0","0.0"
"22","4","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1234C1","8,348.0","9,965.0","11,365.0","12,513.0","12,963.0","13,030.0","12,859.0","12,055.0","13,013.0","13,195.0","13,154.0","15,048.0","15,927.0","18,495.0","18,376.0","17,410.0","18,500.0","15,772.0","15,268.0","19,298.0","17,362.0","14,974.0","8,673.0","8,887.0","7,215.0","11,324.0"
"23","5","Equals: Exports of goods, NIPAs","A253RC1","226,002.0","257,547.0","325,785.0","369,354.0","396,637.0","423,565.0","447,952.0","459,934.0","510,064.0","583,279.0","618,330.0","687,694.0","680,860.0","697,193.0","784,345.0","731,228.0","700,313.0","726,834.0","816,981.0","906,088.0","1,024,390.0","1,162,034.0","1,297,486.0","1,064,688.0","1,278,537.0","1,474,480.0"
"24","6","Exports of services, ITAs","B1235C1","86,694.0","98,657.0","110,920.0","127,089.0","147,834.0","164,262.0","177,249.0","185,914.0","200,398.0","219,180.0","239,485.0","256,091.0","262,756.0","268,789.0","288,003.0","276,537.0","283,437.0","293,702.0","341,161.0","375,756.0","420,418.0","490,605.0","535,183.0","509,211.0","553,602.0","605,960.0"
"25","7","Less: Statistical differences \2\","B1236C1","-321.0","-343.0","-307.0","-306.0","-339.0","-365.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-13,131.0","-10,722.0","-9,722.0","-8,904.0","-10,641.0","-11,913.0","-13,366.0","-15,455.0","2,304.0","0.0","0.0","0.0","0.0"
"26","8","      Other items \4\","B1237C1","0.0","0.0","10.0","49.0","56.0","445.0","521.0","802.0","579.0","725.0","708.0","543.0","645.0","682.0","1,083.0","837.0","700.0","790.0","1,019.0","1,445.0","1,168.0","1,457.0","1,616.0","1,491.0","1,951.0","1,551.0"
"27","9","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1238C1","2,318.0","2,476.0","2,635.0","2,691.0","2,798.0","3,001.0","3,153.0","3,297.0","3,484.0","3,611.0","3,715.0","3,803.0","3,777.0","3,869.0","4,120.0","4,271.0","4,462.0","4,784.0","5,047.0","5,078.0","5,051.0","4,995.0","4,716.0","4,150.0","3,995.0","3,871.0"
"28","10","      Financial services furnished without payment","B1607C1","4,999.0","4,741.0","4,247.0","3,752.0","4,571.0","5,839.0","7,127.0","7,244.0","7,333.0","6,535.0","6,843.0","7,380.0","7,115.0","7,015.0","7,134.0","6,804.0","6,610.0","5,862.0","6,141.0","6,220.0","6,887.0","7,824.0","11,006.0","10,877.0","10,228.0","11,443.0"
"29","11","Equals: Exports of services, NIPAs","A646RC1","94,332.0","106,217.0","118,099.0","133,789.0","155,486.0","173,022.0","187,009.0","195,652.0","210,636.0","228,602.0","249,335.0","266,727.0","273,003.0","292,121.0","308,896.0","296,497.0","302,713.0","314,199.0","363,243.0","398,972.0","446,642.0","499,665.0","549,288.0","522,749.0","565,874.0","619,723.0"
"30","12","Income receipts, ITAs","B1239C1","97,063.0","108,183.0","136,713.0","161,287.0","171,742.0","149,218.0","133,765.0","136,057.0","166,520.0","210,243.0","226,127.0","256,805.0","261,819.0","295,427.0","352,479.0","292,432.0","282,705.0","322,407.0","415,793.0","537,337.0","684,620.0","833,834.0","813,903.0","601,609.0","676,282.0","744,620.0"
"31","13","Less: Statistical differences \2\","B1240C1","-682.0","-842.0","-782.0","-999.0","-1,061.0","-1,243.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1,498.0","1,560.0","1,634.0","1,759.0","1,955.0","2,055.0","2,073.0","2,398.0","3,988.0","0.0","0.0","0.0","0.0"
"32","14","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1241C1","8,056.0","9,023.0","9,846.0","10,520.0","11,085.0","11,996.0","13,217.0","14,260.0","15,386.0","16,512.0","17,380.0","19,371.0","21,376.0","22,101.0","24,999.0","28,136.0","29,440.0","30,474.0","31,853.0","33,367.0","33,431.0","33,475.0","34,863.0","36,034.0","36,693.0","37,213.0"
"33","15","      Imputed interest received from the rest of the world","W320RC1","-538.0","-653.0","-673.0","-733.0","-530.0","-429.0","-499.0","-650.0","-737.0","-906.0","-1,078.0","-1,227.0","-1,393.0","-1,439.0","-1,760.0","-1,681.0","-1,685.0","-1,896.0","-1,823.0","-2,239.0","-3,019.0","-2,456.0","-2,296.0","-2,784.0","-3,571.0","-4,816.0"
"34","16","      Adjustment for grossing of parent/affiliate transactions \5\","B2628C1","5,734.0","5,419.0","4,954.0","5,097.0","5,152.0","6,113.0","5,314.0","5,547.0","2,927.0","3,418.0","3,402.0","4,553.0","4,424.0","4,876.0","6,343.0","5,772.0","4,805.0","4,287.0","4,800.0","6,645.0","8,418.0","10,087.0","9,627.0","7,566.0","7,119.0","6,663.0"
"35","17","Equals: Income receipts, NIPAs","B645RC1","110,997.0","122,814.0","151,622.0","177,170.0","188,510.0","168,141.0","151,797.0","155,214.0","184,096.0","229,267.0","245,831.0","279,502.0","286,226.0","319,467.0","380,501.0","323,025.0","313,506.0","353,317.0","448,568.0","573,037.0","721,052.0","870,952.0","856,097.0","642,424.0","716,523.0","783,680.0"
"36","18","Imports of goods, ITAs","B1242C1","368,425.0","409,765.0","447,189.0","477,665.0","498,438.0","491,020.0","536,528.0","589,394.0","668,690.0","749,374.0","803,113.0","876,794.0","918,637.0","1,034,389.0","1,230,568.0","1,152,465.0","1,171,929.0","1,270,224.0","1,485,492.0","1,692,417.0","1,875,096.0","1,982,842.0","2,137,608.0","1,575,490.0","1,934,006.0","2,235,819.0"
"37","19","Less: Gold, ITAs \1\","B1095C1","7,856.0","3,784.0","4,861.0","3,651.0","2,452.0","2,897.0","3,808.0","8,821.0","4,738.0","5,292.0","7,748.0","6,608.0","6,527.0","5,768.0","5,877.0","4,305.0","2,856.0","3,582.0","4,050.0","4,433.0","5,644.0","8,826.0","12,454.0","8,842.0","12,552.0","16,391.0"
"38","20","      Statistical differences \2\","B1243C1","1.0","-1.0","0.0","-21.0","21.0","25.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","2,605.0","3,884.0","3,857.0","3,927.0","5,364.0","7,496.0","9,229.0","12,024.0","185.0","0.0","0.0","0.0","0.0"
"39","21","Plus: Gold, NIPAs \1\","B1091C1","393.0","-935.0","-1,545.0","-2,172.0","-2,371.0","-2,752.0","-2,877.0","-3,224.0","-3,947.0","-3,622.0","-3,811.0","-3,601.0","-2,810.0","-2,232.0","-2,480.0","-2,408.0","-2,102.0","-2,172.0","-2,029.0","-2,207.0","-3,080.0","-3,890.0","-4,132.0","-5,132.0","-7,027.0","-10,319.0"
"40","22","      Adjustment for U.S. territories and Puerto Rico \3\","B1244C1","9,045.0","9,722.0","11,342.0","12,928.0","14,476.0","15,374.0","15,083.0","15,409.0","16,807.0","16,986.0","15,899.0","19,069.0","21,449.0","23,903.0","28,172.0","29,784.0","30,829.0","30,150.0","29,747.0","31,432.0","30,578.0","30,805.0","25,327.0","25,956.0","32,543.0","20,114.0"
"41","23","Equals: Imports of goods, NIPAs","A255RC1","370,006.0","414,769.0","452,124.0","484,793.0","508,072.0","500,723.0","544,929.0","592,762.0","676,813.0","757,448.0","807,448.0","885,656.0","930,751.0","1,047,690.0","1,246,500.0","1,171,680.0","1,193,876.0","1,289,260.0","1,501,666.0","1,707,981.0","1,884,930.0","2,000,748.0","2,146,349.0","1,587,474.0","1,946,972.0","2,229,226.0"
"42","24","Imports of services, ITAs","B1245C1","80,147.0","90,789.0","98,530.0","102,479.0","117,655.0","118,460.0","119,562.0","123,781.0","133,059.0","141,399.0","152,555.0","165,933.0","180,680.0","195,780.0","218,967.0","217,030.0","226,381.0","244,278.0","283,011.0","303,649.0","338,016.0","368,444.0","403,412.0","382,608.0","403,216.0","427,429.0"
"43","25","Less: Statistical differences \2\","B1246C1","-682.0","-842.0","-782.0","-999.0","-1,062.0","-1,245.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-3,410.0","-4,785.0","-4,761.0","-4,687.0","-6,086.0","-8,213.0","-9,891.0","-10,956.0","1,238.0","0.0","0.0","0.0","0.0"
"44","26","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1247C1","2,032.0","2,314.0","2,556.0","2,761.0","2,940.0","3,119.0","3,301.0","3,429.0","3,551.0","3,724.0","3,959.0","4,187.0","4,259.0","4,508.0","5,039.0","5,242.0","5,253.0","5,523.0","6,029.0","6,269.0","6,445.0","6,816.0","6,723.0","6,082.0","5,866.0","5,620.0"
"45","27","Equals: Imports of services, NIPAs","B656RC1","82,861.0","93,945.0","101,868.0","106,239.0","121,657.0","122,824.0","122,864.0","127,212.0","136,612.0","145,123.0","156,518.0","170,120.0","184,939.0","203,702.0","228,791.0","227,033.0","236,325.0","255,887.0","297,253.0","319,810.0","355,417.0","374,022.0","410,137.0","388,690.0","409,082.0","433,047.0"
"46","28","Income payments, ITAs","B1248C1","81,571.0","93,893.0","118,027.0","141,463.0","143,193.0","125,088.0","109,532.0","110,743.0","149,374.0","189,352.0","203,811.0","244,195.0","257,553.0","283,491.0","333,299.0","262,703.0","257,525.0","278,722.0","350,712.0","468,748.0","640,437.0","732,349.0","666,814.0","481,892.0","492,422.0","517,613.0"
"47","29","Less: Statistical differences \2\","B1249C1","-321.0","-343.0","-307.0","-306.0","-340.0","-362.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","3,455.0","3,435.0","3,624.0","3,985.0","3,575.0","4,192.0","5,842.0","6,300.0","2,058.0","0.0","0.0","0.0","0.0"
"48","30","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1250C1","1,298.0","1,416.0","1,398.0","1,361.0","1,361.0","1,258.0","1,183.0","1,148.0","1,123.0","1,212.0","1,183.0","1,151.0","1,210.0","1,177.0","1,175.0","1,142.0","1,126.0","1,227.0","1,721.0","2,357.0","2,214.0","1,935.0","1,782.0","1,327.0","1,020.0","896.0"
"49","31","      Imputed interest paid to the rest of the world","W370RC1","4,461.0","4,088.0","3,574.0","3,019.0","4,041.0","5,410.0","6,628.0","6,594.0","6,596.0","5,629.0","5,765.0","6,153.0","5,722.0","5,576.0","5,374.0","5,123.0","4,925.0","3,966.0","4,318.0","3,981.0","3,868.0","5,368.0","8,710.0","8,093.0","6,657.0","6,627.0"
"50","32","      Adjustment for grossing of parent/affiliate transactions \5\","B2628C1","5,734.0","5,419.0","4,954.0","5,097.0","5,152.0","6,113.0","5,314.0","5,547.0","2,927.0","3,418.0","3,402.0","4,553.0","4,424.0","4,876.0","6,343.0","5,772.0","4,805.0","4,287.0","4,800.0","6,645.0","8,418.0","10,087.0","9,627.0","7,566.0","7,119.0","6,663.0"
"51","33","Equals: Income payments, NIPAs","A655RC1","93,385.0","105,159.0","128,260.0","151,246.0","154,087.0","138,231.0","122,657.0","124,032.0","160,020.0","199,611.0","214,161.0","256,052.0","268,909.0","291,665.0","342,756.0","271,116.0","264,396.0","284,627.0","357,359.0","475,889.0","648,636.0","747,681.0","686,933.0","498,878.0","507,218.0","531,798.0"
"52","34","Balance on goods and services and income, ITAs (1+6+12-18-24-28)","B1260C1","-123,042.0","-137,399.0","-95,883.0","-73,315.0","-52,309.0","-7,005.0","-14,977.0","-45,004.0","-81,346.0","-75,498.0","-81,754.0","-95,660.0","-161,879.0","-251,226.0","-357,571.0","-332,041.0","-392,253.0","-447,298.0","-540,276.0","-640,035.0","-709,106.0","-595,239.0","-551,249.0","-259,437.0","-310,877.0","-332,876.0"
"53","35","Less: Gold (2-19+21)","A2031C1","-1,772.0","-2,092.0","-595.0","-2,745.0","-1,093.0","-2,069.0","-2,145.0","-2,981.0","-2,870.0","-3,792.0","-4,619.0","-4,483.0","-3,852.0","-2,737.0","-2,329.0","-1,817.0","-1,601.0","-963.0","-1,629.0","-1,090.0","59.0","592.0","2,103.0","-42.0","-2,017.0","7,545.0"
"54","36","      Statistical differences (3+7+13-20-25-29)","B1261C1","-1.0","0.0","-1.0","20.0","-21.0","-56.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-29.0","1,091.0","1,669.0","1,899.0","2,430.0","2,492.0","2,876.0","3,169.0","6,402.0","0.0","0.0","0.0","0.0"
"55","37","      Other items (8)","B1262C1","0.0","0.0","10.0","49.0","56.0","445.0","521.0","802.0","579.0","725.0","708.0","543.0","645.0","682.0","1,083.0","837.0","700.0","790.0","1,019.0","1,445.0","1,168.0","1,457.0","1,616.0","1,491.0","1,951.0","1,551.0"
"56","38","Plus: Adjustment for U.S. territories and Puerto Rico (4+9+14-22-26-30)","B1263C1","6,347.0","8,011.0","8,550.0","8,673.0","8,069.0","8,276.0","9,663.0","9,626.0","10,402.0","11,396.0","13,208.0","13,815.0","14,162.0","14,877.0","13,109.0","13,649.0","15,194.0","14,130.0","14,671.0","17,685.0","16,607.0","13,889.0","14,419.0","15,706.0","8,474.0","25,779.0"
"57","39","Equals: Net exports of goods and services and net receipts of income, NIPAs (5+11+17-23-27-33)","A1072C1","-114,921.0","-127,295.0","-86,746.0","-61,965.0","-43,183.0","2,950.0","-3,692.0","-33,206.0","-68,649.0","-61,034.0","-64,631.0","-77,905.0","-144,510.0","-234,276.0","-344,305.0","-319,079.0","-378,065.0","-435,424.0","-527,486.0","-625,583.0","-696,899.0","-589,800.0","-540,548.0","-245,181.0","-302,338.0","-316,188.0"
"58","40","Unilateral current transfers, net, ITAs","B1089C1","24,134.0","23,262.0","25,276.0","26,170.0","26,656.0","-9,900.0","36,637.0","39,812.0","40,266.0","38,073.0","43,019.0","45,060.0","53,187.0","50,427.0","58,769.0","64,554.0","64,991.0","71,796.0","88,244.0","105,740.0","91,515.0","115,063.0","125,888.0","122,460.0","131,073.0","133,055.0"
"59","41","Less: Statistical differences \2\","B1264C1","-2.0","-3.0","0.0","-1.0","0.0","-1.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","122.0","73.0","43.0","1.0","-119.0","-31.0","243.0","-487.0","0.0","0.0","0.0","0.0"
"60","42","Plus: Adjustment for U.S. territories and Puerto Rico \3\","B1655C1","3,628.0","3,545.0","3,713.0","4,229.0","5,079.0","4,991.0","5,266.0","5,542.0","5,813.0","5,976.0","6,495.0","6,364.0","6,846.0","7,202.0","7,413.0","8,087.0","8,563.0","8,900.0","8,749.0","9,184.0","10,230.0","10,663.0","12,557.0","14,515.0","15,436.0","16,533.0"
"61","43","Equals: Current taxes and transfer payments to the rest of the world, net, NIPAs","A123RC1","27,764.0","26,811.0","28,990.0","30,400.0","31,735.0","-4,908.0","41,912.0","45,355.0","46,078.0","44,050.0","49,513.0","51,424.0","60,033.0","57,630.0","66,061.0","72,567.0","73,511.0","80,696.0","97,112.0","114,955.0","101,502.0","126,212.0","138,444.0","136,974.0","146,509.0","149,586.0"
"62","44","Balance on current account, ITAs (34-40)","B1265C1","-147,176.0","-160,661.0","-121,159.0","-99,485.0","-78,965.0","2,895.0","-51,614.0","-84,816.0","-121,612.0","-113,571.0","-124,773.0","-140,720.0","-215,066.0","-301,653.0","-416,340.0","-396,595.0","-457,244.0","-519,094.0","-628,520.0","-745,775.0","-800,621.0","-710,302.0","-677,137.0","-381,897.0","-441,950.0","-465,931.0"
"63","45","Less: Gold (35)","A2031C1","-1,772.0","-2,092.0","-595.0","-2,745.0","-1,093.0","-2,069.0","-2,145.0","-2,981.0","-2,870.0","-3,792.0","-4,619.0","-4,483.0","-3,852.0","-2,737.0","-2,329.0","-1,817.0","-1,601.0","-963.0","-1,629.0","-1,090.0","59.0","592.0","2,103.0","-42.0","-2,017.0","7,545.0"
"64","46","      Statistical differences (36-41)","B1266C1","0.0","3.0","-1.0","21.0","-21.0","-55.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","-29.0","969.0","1,596.0","1,856.0","2,429.0","2,611.0","2,907.0","2,926.0","6,889.0","0.0","0.0","0.0","0.0"
"65","47","      Other items (37)","B1267C1","0.0","0.0","10.0","49.0","56.0","445.0","521.0","802.0","579.0","725.0","708.0","543.0","645.0","682.0","1,083.0","837.0","700.0","790.0","1,019.0","1,445.0","1,168.0","1,457.0","1,616.0","1,491.0","1,951.0","1,551.0"
"66","48","Plus: Adjustment for U.S. territories and Puerto Rico (38-42)","B1268C1","2,719.0","4,467.0","4,837.0","4,444.0","2,990.0","3,285.0","4,396.0","4,084.0","4,589.0","5,420.0","6,713.0","7,451.0","7,316.0","7,675.0","5,696.0","5,562.0","6,631.0","5,231.0","5,923.0","8,501.0","6,377.0","3,227.0","1,862.0","1,191.0","-6,962.0","9,246.0"
"67","49","Equals: Balance on current account, NIPAs (39-43)","A124RC1","-142,685.0","-154,106.0","-115,736.0","-92,365.0","-74,918.0","7,858.0","-45,604.0","-78,561.0","-114,727.0","-105,084.0","-114,144.0","-129,329.0","-204,543.0","-291,906.0","-410,366.0","-391,646.0","-451,576.0","-516,120.0","-624,598.0","-740,538.0","-798,401.0","-716,012.0","-678,992.0","-382,155.0","-448,847.0","-465,774.0"
"68","50","Capital account transactions, ITAs","W371RC1","0.0","0.0","0.0","207.0","7,221.0","5,129.0","-1,449.0","714.0","1,112.0","221.0","8.0","256.0","7.0","4,176.0","2.0","-13,198.0","141.0","1,821.0","-3,049.0","-13,116.0","1,788.0","-384.0","-6,010.0","141.0","158.0","1,213.0"
"69","51","Less: Statistical differences \2\","W372RC1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"70","52","Plus: Adjustments for U.S. territories and Puerto Rico \3\","W373RC1","111.0","138.0","134.0","141.0","152.0","170.0","172.0","161.0","158.0","198.0","201.0","220.0","223.0","291.0","341.0","258.0","359.0","302.0","255.0","262.0","277.0","294.0","601.0","425.0","527.0","462.0"
"71","53","Equals: Capital account transactions (net), NIPAs \6\","W167RC1","111.0","138.0","134.0","348.0","7,373.0","5,299.0","-1,277.0","875.0","1,270.0","419.0","209.0","476.0","230.0","4,467.0","343.0","-12,940.0","500.0","2,123.0","-2,794.0","-12,854.0","2,065.0","-90.0","-5,409.0","566.0","685.0","1,675.0"
"72","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"73","1. Exports and imports of gold in the NIPAs differ from those in the ITAs.  ITA gold exports","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"74","(line 2) and imports (line 19) are excluded from the NIPAs; imports of gold in the NIPAs","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"75","(line 21) is the excess of the value of gold in gross domestic purchases over the value of","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"76","U.S. production of gold.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77","2. Consists of statistical revisions to the ITAs that have not yet been incorporated into the","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"78","NIPAs and statistical revisions to the NIPAs that have not yet been incorporated into the ITAs. From","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"79","1986 through 1991, the NIPAs include estimates of insurance premium supplements that are not","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"80","accounted for in the ITAs until 1992.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"81","3. Consists of transactions between the United States and its territories, Puerto Rico, and the","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"82","Northern Mariana Islands.  The treatment of U.S. territories, Puerto Rico, and the Northern","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"83","Mariana Islands in the NIPAs differs from that in the ITAs.  In the NIPAs, they are included","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"84","in the rest of the world; in the ITAs, they are treated as part of the United States.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85","4. Beginning with 1988, the ITAs classify certain military grants as services that the NIPAs","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"86","do not.  In the NIPAs these transactions are excluded from exports and included in transfer","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"87","payments from government.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"88","5. In the ITAs, income transactions between parents and affiliates are recorded on a net basis.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"89","In ITA exports, U.S. parents' receipts from foreign affiliates for interest are net of such payments","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"90","by U.S. parents to foreign affiliates.  In ITA imports, U.S. affiliates' payments to foreign parents","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"91","for interest are net of such receipts by U.S. affiliates from foreign parents.  In the NIPAs, these","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"92","transactions are recorded on a gross basis.  The amount of the adjustment is identical in income payments","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"93","and in income receipts and, thus, does not affect NIPA net income receipts or balance on current account.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"94","6. Consists of capital transfers and the acquisition and disposal of nonproduced nonfinancial assets.","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"95","ITAs International transactions accounts","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
