"27","Not knowing quite what to expect from Colombo we were very pleasantly surprised by this hotel.  Very courteous and efficient staff, our room not ready on arrival so an instant upgrade. Great way to start.  This hotel is in a great part of town, plenty of trending places in the lanes around the Dutch district to eat and drink pity we are only here for one night.,The highlight though is the biggest buffet in the world, maybe the universe and at around $25AUD a head how can you resist.,Highly recommend.  ,There is though a downside, expansion/reclamation of the foreshore in front of the hotel will mean in the next few years what was once beachfront, will eventually be back streets, pity really, so visit soon.","4"
"28","Stayed at this hotel only for one night. Location was great if you like to explore the city and close to the sea. The roof terrace has a great view. Room not so spacious but clean. Lamp switches were a mystery and no hooks to hang things in the bathroom was a minus. Breakfast buffet had a good selection. We would stay here again.","4"
"29","Hotel has a wonderful selection of food in their buffet- beautifully prepared and fresh. We enjoyed the peaceful surroundings of the pool in the middle of the busy city. Friendly Pryantha the concierge looked after us and we enjoyed our chat about life saving in our two countries.","5"
"30","A lovely hotel with modern finishings.   The rooms are well appointed and have all the amenities one requires.   I particularly like the Bulgari toiletries which was a nice touch.   The view from the rooms is lovely  - a little bit of city with the sea.   Staff were very helpful and the check in was quick.   ,The location is great - a few minutes walk from the beach as well as Colombo's nightlife and restaurants.   The view from the rooftop bar / restaurant is great, as are the cocktails.","4"
"31","We chose this hotel late last year from the website photos and anticipated a beach-front three days of leisure.  What a total shock.  The beach vanished long ago thanks to a billion dollar Chinese land-reclamation development.  The Kingsbury, and indeed the whole Colombo esplanade, has lost its beach. Check out the photos.,What a tragedy for the city.  But the Kingsbury should stop conning customers like us with untruthful photos on their website.","4"
"32","Terrible IT Service, My TV was not worked during my entire 2 days and , IT guy's are coming and going back no solutions, Wifi is same. saying Wifi Free but useless service,Atleast to should keep inform guest what about the issue and appologise . no one came to room and its waisted my entire office work due to this useless IT service, 3 different guys came from IT including manager and no solutions. its a shame 5 star property having this kind of silly service,Terrible not recommending this hotel to Business users.","3"
"33","Need to improve the customer care, overall room service, engineering divisions pro active measures need to be improved. Overall not be a money making center and customer oriented. Room facilities should be improved. Such as complimentary items from the visit to the hotel. ","3"
"34","Great hotel annd excellent location in Colombo! The staff is very helpful & courteous too!,Except... we had many mosquitos in the room, and despite several requests they did not look at sorting this problem out. Also they gave us a room on the second floor (which they call Priviledge Floor) with a balcony.. great view & everything! However sadly every morning they would be washing the hotel windows and without any prior notice to the guests the water would fall on us from above when we were sitting on the balcony! Despite complaining the same thing happened every morning...... so beware don't ask for room on the second floor! Sad that a hotel of such stature dealt with the guests in such a manner...","4"
"35","Was here for a wedding and to see Colombo. This hotel is right in the middle of where you want to be to see the sights in Colombo- The Presidential buildings are next door, markets, St Anthony's cathedral, temples, CCC (Shopping centre) and Galle face (park) are all within walking distance or 5-10 mins by tuk tuk. The area is SAFE.,THe actual hotel though, has the feel of an upper market hotel with piano room, pool (kids pool as well). The only drama is sometimes the lift wasn't working and service was hit and miss. If you are using this as a base camp to head out then you've chosen well. They are reclaiming land next door so this location will only intensify itself as the heart of the tourist region.","3"
"36","The hotel has an old world charm with an exquisite lobby and fabulous service. The rooms, especially the ones with sea view are excellent, bathroom amenities are bvulgari! Morning bfast on coffee shop has perhaps the largest assortment of food I've seen at a hotel around the world!!","5"
"37","Found on my first visit not so five star, as we were a couple, there were one tooth brush, one towel, one of everything. But on my second visit a week later it was much better and I would now give it the Five Star it deserves. ","5"
"38","A well located hotel close to most central things in Colombo. Nice interior and good restaurant both for breakfast (full and comprehensive buffet) and dinner. The pool is very nice and looks over what is left of the sea view (building work reclaiming land blocks it). Room was a touch small and showing signs of age with air con very loud and light comming in through the door at night however it was very comforable and the bed and shower were excellent. Staff were great and due to location i'd definatley stay here again.","4"
"39","The people at this hotel are so kind and helpful and that is just the beginning. The room was perfect and the facilities are equally amazing. The pool area was perfect for kids and adults. The food is incredible and the spa was peaceful and affordable. You owe it to yourself to visit this hotel. ï¸ï¸ï¸","5"
"40","True to its name, the hotel provides an overall nice experience to the customers. Excellent multi cuisine restaurant & a chinese specialty restaurant. However, the view from Hotel got deteriorated due to Port city coming right in front of the property obstructing sea view.","4"
"41","I stayed for 2 weeks here for my first time on a work trip. I was given a beautiful room with stunning views of the Galle face and couldn't have been made to feel more welcome and comfortable. All the staff are amazing! The bed was so comfortable and the vibe of the hotel is fantastic for both business and pleasure. I would recommend for anyone that wants to enjoy the wonderful Sri lankan hospitality ","5"
"42","We planned a surprise birthday party for our friend and Anusha who works at the high tea lounge helped us a-lot and she was very friendly and her service was perfect. Had a great time and the food was really good.","5"
"43","My husband and I stayed at the Kingsbury for 2 nights. We were upgraded to a beautiful suite. Room had a funky smell but everything was clean. We had chocolates set up in our room which was a nice touch. Breakfast buffet was great each morning with a great variety. We at dinner at the Oceans Seafood restaurant and it was ok, nothing outstanding in our opinion. Roof top bar had an amazing view & great cocktails. The staff throughout the property were amazing except the pool staff. They did not understand our English at all & service was slow (not many people at the pool when we were there). The gym is quiet small but has all you need for a workout while on holiday, clean with water bottles at all stations. The location of the hotel was perfect for a short stay in Colombo.","4"
"44","Overall we were pleased with this hotel which we booked at short notice due to another property letting us down.  I think my only gripe was that I contacted them three times through their website to book a meal for my wifeâs birthday which would be on the evening that we arrived. I never received a response and had to arrange it when we checked in. A staff member helped us but the restaurant was full and we had to book for a table in a foyer area. Reluctantly we accepted this. They need to get their communications with customers sorted.,It is reasonably located to the Colombo Fort station and we walked there with our bags in 10-15 mins. The staff will direct you.","4"
"45","i was there in march 2018 with my friend.the hotel has very good location.the staff are very friendly and helpful .at first our room was very noisy , when i asked reception  ,they changed the room very soon. the hotel lounge was very beautiful.the breakfast was very varied from local food to international.rooms very nice clean and have comfortable beds. i liked the hotel and recommend it.","4"
"46","- Rooms: from bad to worse, no internet, strange woman in the noisy corridor, ,- pool: too loud music to relax as of 11 am,I wd not recommend this hotel, neither as a 5 star hotel, nor as a place where to relax","1"
"47","We spent our last 2 nights in lovely Sri :Lanka at the Kingsbury in Colombo. It offers good value for money, rooms are modern and well furnished, with a terrific rain-shower. However, I did not like the mirror wall in the cramped bathroom, off-putting and crass IMHO. Housekeeping needs improvement, no spare toilet roll, no tissue box, towels taken away but not replaced etc. All provided promptly on request, but that should not be necessary.,Breakfast buffet is excellent with good service, coffee/tea poured at the table. Situated at one end of Galle Face ( other end is Galle Face Hotel), adjacent to the massive Fort City project, construction of which will start soon.,Check-in staff assured us that our rooms ( 205/215) would have a view, turned out to be completely untrue; they could have been honest upfront, and told us that rooms with views were not available. Check-in also took an inordinately long time, the cinnamon-ginger drink offered while we waited was wonderful but served in thimble-sized glasses.","4"
"48","We have spent three nights in this establishment and absolutely loved it from the location, to the executive lounge and floor, to the service. The hotel has a lovely bar on the rooftop and the Japanese restaurant is truly recommended. The room was cozy, and the buffet breakfast was awesome in terms of choice and quality. Will return!","5"
"49","We stayed in the Kingsbury two nights before we flew on to the next stop on our leg. Overall, the location is great, really close to a lot of the amenities. The hotel itself is well presented, the room was really comfortable, if needing a little lick of paint here and there to sharpen it up.,Check-in / reception were really friendly, as were the bell boys. It lacked a little polish to make it stand out amongst other 5 star hotels, but for the price, it's a really great hotel.,One slight demerit was that our window didn't have the greatest of seals, so when they had the DJ on (Friday night), it was fairly loud in our room. It stopped at 11 though, so not the end of the world!","3"
"50","I do really appreciate the service that was rendered by the crew regards to the hospitality provided during the event of commencement.I really make this as a gratitude for all the members for their enormous support for service provided.they were spiritually into the duty with a customer adherence commitment towards the guess in entertaining and serving.I my self would like to personally appreciate Mr.Raveen (who working in the CÃ LA VI) for the tendency of serving the guess to highest peak with much responsiable and gusture.And i would finally delicate the tastious food served as they were very much pleasant and was very dellicious.I hereby would remark and recommand #KINGSBURY #COLOMBO for the great service experiance. ,Thank u verymuch.You all made my day special,09th feb 2019","3"
"51","Best Location in Fort Colombo, Comfortable beds , Luxury Bvlgari toiletries in room , Elaborate breakfast buffet with good choices .Conciage very helpfull .Overall had a great stay with nothing to complain.","4"
"52","This was our first stop on our SL trip. The hotel had a very colonial feel. ,Decent size room. ,Breakfast was great. Lots of choice and all well prepared. ,The hotel was also located in a reasonably good area within waking distance to restaurants and curio shops. ","4"
"53","This hotel is over rated. ,Some of the staff members are good but most of them need some basic ethics.,No towels when I cheked-in, called the house keeping two times on the first day to bring it for me. On the second day, I was away for 4 hours with the instruction to get my room make up through turning on the notification light ouside the room but returned with room not being touched. Asked the staff working nearby and he came after 20 mins.,Again the towels were not provided and had to call housekeeping many times for the same and finally got it in the evening.,Just two complimentary water bottles were provided on the first day nothing on the second day.,Room was given near backyard of the hotel with a view of the car park.,All together a very bad experience at this property.","3"
"54","Thank you for your email , we had a good relaxed time at your Hotel facility and yes we defiantly recommend to friends and family to your destination and will give a 9 out of 10 for satisfaction good services all around except for the Honey comb restaurant bar services was not good at all slow and no customer care , my special thanks to the concierge manager who was extremely helpful and very well mannered ","4"
"55","Hotel with nice environment. The service needs improvement for a 5 stars hotel. On the third day of staying, a room cleaning staff just shout at my door while I am showering and the ""Do Not Disturb"" sign is on. On the last day, check-out is a frustrating process. The computer system is down they took a long time to settle the check-out. Ordered in-room dining but the receipt is no where to be found. Even though I have given my credit card information for any additional charges. I am still being charged of the in-room dining. The service level is not acceptable for a 5 stars hotel.","3"
"56","Kingsbury is one of the best places to have good food around Colombo in the 5 Star level. Specially the Kingsbury high tea is worth for its price. It is buffet and there are so many varieties. The customer service is also superb. You can try different kind of dishes from its restaurants like Harbor court, Gourmot station,Honey beach club etc.","4"
"57","Been travelling to Colombo for last 3 years now and have stayed in Kingsbury twice. The hotel location is apt and good areas to wall around at night. The hotel pool side becomes very lively at night time which makes it all more interesting and happening.  Food and customer service is worth the money spent. Some time you would feel the lobby is over crowded which doesn't gives a feel of 5star properly. Other then that all is good and worth it. ","3"
"58","We visited on our first visit to Sri Lanka several years ago and thought it was a great hotel with great service so when returning to Sri Lanka this year we decided to stay here for our one night in Colombo.  It didnât start well and went downhill from there.  Check-in wasnât easy although some of that may have been due to linguistic problems and the noise in the reception area.  The corridor to our rooms in a no smoking area smelt of cigarette smoke though the rooms didnât.  A suitcase lock was damaged, the restaurant service in the buffet restaurant was at best poor.  The wine we ordered was out of stock, no problem, but when told this we werenât given the wine list back to chose an alter but had to ask for it. Plates from the table werenât cleared and we had to move them to another table to ensure we had space for our ongoing meal.  At check-out we had to wait whilst they checked if weâd used the minibar but we couldnât use it as padlocked.,Highlights were the service in the rooftop bar âCe la Viâ which was excellent and the chief porter Hussain in resolving our problems with suitcase lock who couldnât have been more helpful or attentive.  Sadly should we return to Colombo in the future weâll give the Kingsbury a big miss.","3"
"59","Very good location , take a walk around the place in the evening, close to the beachside and other side you have the heritage buildings, opposite to the hotel is Dutches Hospital building which has lots of pubs and bars and a must place to visit. Sea food lovers should visit restaurant in this building called MINISTRY OF CRABS, which is owned by the famous cricketers Manila Jayawardene and Kumar Sangakkara,itâs just awesome.,Kingsbury Hotel Duty Manager Mr. Vishal is very helpful in making the guests comfortable and by meeting you personally to see to your needs.","5"
"60","As we arrived we were warmly welcomed by the staff.Staff was excellent, extremely helpful.The kings offers an extensive cocktail menu.,Special thanks to Mr Thilina who take care of the place ,Ideal location for a different vibe will definitely recommend to anyone.","4"
"61","We stayed at the Kingsbury for New Yearâs Eve and watched the fireworks directly above us from the rooftop bar. We had to book tickets and pay extra to be on the rooftop, food and drinks all inclusive, but it was worth doing. The staff at the hotel are very helpful. The rooms are great, the breakfast outstanding, and the pool is very good. Overall, a very good hotel.","5"
"62","The hotel is great place for business stop over. The renovation of some parts of the hotel is in progress. The hotel offers SPA services, gems, souvenir and tea shop. At the hotel there is an event facilities. It great to come back and stay at the hotel. Friendly staff ready to help you any moment.","5"
"63","A beautiful hotel in the city center. Close to shops, markets and eateries. The buffet spread was AMAZING!! The service was impeccable and I would go back to this hotel in a heartbeat. The pool was huge and open late. The bar and dj played music till late at night which was nice for those on holiday. View of the port and a main road. The interior of the hotel was luxurious down to the bathroom supplies being from BLVGARI. The rooms were large and all level 2 rooms had a balcony which was stunning to relax in. The rooftop bar was beautiful but you need to be 18+ to enter which was difficult when my party had 8 adults and a 1 year old. There was a range of shops available onsite and the reception staff were fantastic.","5"
"64","Stayed one night at the  hotel, its convenient to the heart of Colombo. There are many restaurants within the  hotel and  my personal favorites are the  roof top bar and the Grill on the  ground floor. The buffet is ideal for a crowd.  there are many restaurants near to the  hotel which makes it ideal if you want a change from the  norm.","4"
"65","Our fourth stay at the Kingsbury...Colombo. Love this hotel. First stay was in 1992, when it was The Inter Continental. 2015, 2017, and this year 2019. We will be back! Great shopping at Paradise Road and the Majestic Arcade.","5"
"66","I stayed for two nigghts in the Kingsbury Hotel as part of a tour of Sri Lanka. ,The reception, the restaurant and the common parts in general are very nice, clean, welcoming and well-kept. Both the reception area and the restaurant were superbly decorated for Christmas and the New Year.,The room was nice but rather small. It had all amenities, but the impression was that it would benefit from a general refurbishment.,Staff was helpful.,Food was good and there was a good choice for both breakfast and dinner.","4"
"67","On January 14th I checked in at the Hilton and due to an error in my booking I have to cut my stay short and book in to Kingsbury on the 14 of January. The Hilton is only 3 minutes walking from the Hilton but I had a luggage and an elderly companion,So we decided to take a three wheeler to avoid the scorching sun and lugging our large suitcases all the way against the traffic.,On nearing the main entrance the three wheeler driver stop the short., I motioned him to proceed to the main entrance for easier disembark . The Kingsbury security guard motioned that three wheelers are not allowed past this area .,I told him I've suitcases and I'm going to check in.,He was looking at me like. "" hey what's wrong with you.  He pointed to a signboard that says no tuk tuk beyond this point. ,It puzzles me why paying guests are not allowed to be dropped off at the main entrance. ,Its an insult and an embarrassment for me,This discriminatory action is difficult for me to comprehend ","2"
"68","We stayed one night as we wanted to go around Colombo after being in southern Sri Lanka for 2 weeks. ,The pics are not representative to what we have experienced.,They have placed us in a room where the view has a terrace.Simply horrible.,There was also very noisy. The room service very-very slow.,Food was good and the buffet had great range of goodies.,Concierge service was great and the shops and the layout at the ground floor (reception area) was nothing you were in another hotel. The piano, the fish tank, the design gives you a great atmosphaire and then you walk to the room and you are questioning yourself.....?!,The manager was happy to change us to another room but having to stay for 1 day it was more of a hassle doing so.,I think during check-in they should of told us before placing us at the specific room.","3"
"69","A nice hotel very next to the beach front, located in the CBD and very easy to reach anywhere in Colombo. Rooms are nice and clean, a little smaller than some of the other hotels but of course not too small. Has got good breakfast and lunch spreads. With the rooftop bar and restaurant makes it even better. I would definitely come back again.","4"
"70","Great location in Colombo it is a very comfortable hotel . Rooms are a little small but very comfortable and the facilities are first class. As usual we found the staff very friendly and helpful. Food was very good","4"
"71","love the hotel,  we have just stayed at this again our third time for 5 days.,The food and the staff are very friendly.  ideal location on the Galle front in Columbo.,the only thing i did not like this time was the loud music everynight  from the Honey club pool bar every night.,sunday lunch are a must here.","5"
"72","A big thank you to the hotel staff for making my stay over 2 weeks enjoyable. All the staff are really friendly from reception staff to the restaurant staff.  Further, I did leave back some items on my departure but the hotel staff handled it professionally and ensure everything was returned to me. ,Also a special thank you for the Chef Jayasuriya (I think I got it right) and the cleaning team on the 7th floor, (Chanka and team) who always talks to you and smiles at all times. ,I must also state I noted several instances where the staff were treated badly by some guests (especially Indians) however they respected the customer and handled the issue professionally, It sad as everyone should be respected on what job they do. ,Once again thank you, Team Kingsbury. Highly recommended hotel. I do tours for friends in Sydney and I will ensure I give you a plus on the tour.,Last but not least thanks to Denesh Silva and Hasitha (reservations) for organising all the smaller things before the date of arrival.","5"
"73","My husband & I stayed in the hotel and celebrated Danish Christmas Dinner.,We had Dinner in the Japanese Restaurant which was not that impressive food. In fact my husband got the Steak chopped into small pieces which he sent back to the kitchen. Hotel Room was a nice & cleaned.,We enjoyed drinks in 2 bars which were also ok.,Most of all we like the location since the hotel is located just in front of the Galle Face Green facing Indian Ocean. Sadly our day 1 was raining therefore we couldnât enjoy a walk on the beautiful Galle Face Green.,Breakfast was ok mixed with few cuisines but majority of the breakfast items were Indian & Sri Lankan, therefore for Westerners not that much good unless they like those food.","4"
"74","We celebrate birthday in coffee shop on 5th January.well trained staff and friendly and professional staff.lots of variety of food and taste and quality was excellent. Special thanks for tharindu and Eshan from kitchen.will back soon and keep it up good wirk","5"
"75","Came here for drinks with friends on a pub crawl. Service was fantastic. ,unfortunately, the great views from the restaurants are now lost due to the development of the port city. nonetheless, great service.","5"
"76","Stayed here for 4 nights 30/12/18 to 3/01/19. Good location, excellent facilities and high standard of service especially in renovated floors and superior executive rooms. (Thank you for the complimentary upgrade).,Great staff. Comfortable and clean rooms, nice pool and dining options.,Not my first stay at Kingsbury.,Like most SL hotels, peak period room rates are higher than comparable rates in other SE Asian destinations.,Restaurant prices a bit on the high side.,Minor comment - Noticed a few small cockroaches around the place, even in the spa room! Can be a common problem in tropical climates and not restricted to this hotel. Perhaps regular pest control will fix this before it gets out of hand.,Will stay here again as it is a great property with excellent staff, facilities and service!","5"
"77","We weren't staying in the hotel but popped in for a drink and a bite at lunchtime and were made to feel extremely welcome even though my partner was in shorts (in contrast to many of the big hotels on this strip). We ate in the bar and I had a great spiced mango cocktail, my partner loved the cold beer, and we had a selection of tapas. Not cheap but tasty and in lovely environment with friendly staff. ,Having has such a nice experience we returned for dinner (in long pants!) And had amazing steaks in The Grill - better cooked than many I've had in London. Finished off with a nightcap in the rooftop bar where a great singer was performing. ,All in all a lovely, friendly experience with great food and cocktails. Warm atmosphere unlike sterile feel of many corporate hotels. Thanks for making us feel so welcome.","4"
"78","Baked crab was delicious and generous serve for < AUS$15. Cocktails lacked presentation but tasted great and very reasonably priced. Lovely poolside eating area. Friendly staff everywhere, esp at jewellers in foyer. Helpful but not pushy. ","4"
"79","My maiden visit  to Colombo and what better than Kingsbury. Wonderful Property. Location is perfect, right in the middle of the city. Honey Beach Club is awesome. My recommendations do spend time by the pool side. ","4"
"80","Undoubtedly the best lunch buffet spread in town , you name it they have . Indian , Japanese , Internatinoal to anything you need. They have great spread of sea food also typical Sri Lanka curries too. I just loved every minute. Service was really nice and helpful. Try go their on a Saturday , you will love it","5"
"81","Fabulous hotel. Amazing pool and bar on the lower and a roof top bar for evening cocktails. Beautiful rooms. Gourmet chocolates on arrival was a pleasant surprise. Walk to the water front. Great markets and bars around.","5"
"82","I actually didn't stay at this hotel. The interactions during the booking g.pricess were sufficient for me to the rethink and rebook else where. ,The booking manager was rude and condescending and communication by email so cahllenging I ended up calling, but again was met with condescension. I booked the Taj.,Try it, you might like it! ","1"
"83","I felt welcome from the moment I walked into the Kingsbury. Excellent customer service. Great food, beautiful room! The spa is amazing. Go to Honeys at the pool its fun at night live music, food and drinks. So happy with our experience, cant wait to go back.","5"
"84","First trip to Sri Lanka great first impression given by Kingsbury. Mohammed from Exec lounge top chap. Breakfast impressive. Rooms super comfortable. Pool lacked privacy and natural shading but I'm being picky here.","4"
"85","This is my first time in Sri Lanka and i don't know what the quality means here. I have chosen this hotel and it was very nice but i can't tell this price matches the quality. i expected much more quality just like i have experienced in Swiss-hotel in Singapore. You cannot find so much variety of breakfast. Also at night the music in the pool bar disturbs you even you are in the 5th floor.  ","5"
"86","Very comfortable hotel. Well presented throughout. There are a handful of different restaurants to choose from and a roof top bar. The honey is a  relaxing outdoor pool side with bar and food available. Staff are very friendly. Centrally located.","4"
"87","staff was very friendly and the food selection was off the charts. However i think they have over done the salad bar. I would spend more time on quality than quantitiy. Breads were really fresh. The main items were excellent. I've been here for breakfast too. Those few times were amazing and well worth the price.","5"
"88","Its a great hotel for relaxing..  ,Amazing breakfast....good people and amazing pool.. great pizza and pasta,They honey bar has great vine and its a relaxing space,Comfortable beds nice dark rooms , you can even select a different pillow to sleep on each night ..they have a spa and a steam room","4"
"89","When you enter this hotel you are confronted with an enormous entrance hall that exudes quality with marble floors, chandeliers and enormous vases of fresh roses.. Staff open the main doors for you and nothing is too much trouble. Given the quality, the room prices by UK standards are exceptional value. The room that I had was quite small and a little tired. Having said that the bed linen was good and the bed itself very comfortable. Facilities were very good with a variety of restaurants and bars to suit most tastes.","4"
